iteration,game_num,num_moves,winner,game_duration_sec,avg_mcts_time,black_win,white_win,draw,avg_policy_entropy,avg_policy_top1_prob,policy_diversity,max_policy_entropy,min_policy_entropy
1,44,30,2,24.33475947380066,0.8111226558685303,0,1,0,3.1227195,0.06933333,0.5178113,3.2188754,0.3342211
1,45,17,1,13.60727596282959,0.8001576171201819,1,0,0,3.0295298,0.09647059,0.75738245,3.2188754,-0.0
1,46,32,2,26.197345733642578,0.8186149895191193,0,1,0,3.1489449,0.062499996,0.38935605,3.2188754,0.98110217
1,47,46,2,38.34665656089783,0.8334635236988897,0,1,0,3.2090116,0.045217384,0.050328493,3.2188754,2.8969882
1,48,20,2,15.657349348068237,0.782670533657074,0,1,0,3.0325904,0.107999995,0.44865963,3.2188754,1.7410034
1,49,23,1,18.471097946166992,0.802996770195339,1,0,0,3.1351106,0.06782609,0.39289057,3.2188754,1.2922907
1,50,42,2,34.47439098358154,0.8206438393819899,0,1,0,3.146234,0.06190476,0.46513075,3.2188754,0.16794415
1,51,31,1,25.585822582244873,0.8251043519666118,1,0,0,3.11504,0.070967734,0.568726,3.2188754,-0.0
1,52,20,2,16.44738507270813,0.8221386313438416,0,1,0,3.113186,0.08,0.31996587,3.2188754,2.0261202
1,53,21,1,17.00729489326477,0.8096018405187697,1,0,0,3.1197772,0.07238096,0.44318172,3.2188754,1.1378081
1,54,27,1,21.53050661087036,0.7972755078916196,1,0,0,3.0817995,0.08592592,0.48507738,3.2188754,1.2922907
1,55,42,2,35.229058027267456,0.8386795066651844,0,1,0,3.217555,0.040952377,0.0084539335,3.2188754,3.1634235
1,56,24,2,19.376516342163086,0.8072691857814789,0,1,0,3.0986812,0.07666667,0.57642984,3.2188754,0.3342211
1,57,25,1,19.035754919052124,0.761409912109375,1,0,0,2.9222078,0.1392,0.68853086,3.2188754,0.98110217
1,58,37,1,30.47641348838806,0.8235053436176197,1,0,0,3.1409113,0.06378378,0.46778178,3.2188754,0.3342211
1,59,43,1,36.71577858924866,0.8536714287691338,1,0,0,3.2106512,0.04465116,0.038479727,3.2188754,2.997069
1,60,43,1,35.67669200897217,0.8295972014582434,1,0,0,3.2037165,0.047441855,0.07221353,3.2188754,2.7888534
1,61,28,2,22.87239170074463,0.8167053971971784,0,1,0,3.1275392,0.068571426,0.47459397,3.2188754,0.66147697
1,62,27,1,22.751672983169556,0.8425360520680746,1,0,0,3.164139,0.059259254,0.27909994,3.2188754,1.7410034
1,63,50,2,42.33086824417114,0.8464664936065673,0,1,0,3.166198,0.06,0.27604985,3.2188754,1.2922907
1,64,30,2,24.70649790763855,0.823341186841329,0,1,0,3.1530046,0.06533333,0.24707069,3.2188754,2.1638014
1,65,17,1,14.25024127960205,0.8380328767439899,1,0,0,3.140418,0.06823529,0.3138291,3.2188754,1.8851018
1,66,43,1,36.75650715827942,0.8545790383982104,1,0,0,3.1594012,0.058604646,0.38543805,3.2188754,0.66147697
1,67,21,1,17.529239654541016,0.8345752897716704,1,0,0,3.1271334,0.07047619,0.41028327,3.2188754,1.2922907
1,68,27,1,22.63854432106018,0.8382941881815592,1,0,0,3.1586962,0.06074074,0.30685332,3.2188754,1.5940454
1,69,44,2,37.74722456932068,0.8578424020247026,0,1,0,3.149536,0.06090909,0.4546885,3.2188754,0.16794415
1,70,28,2,23.119126558303833,0.8255339520318168,0,1,0,3.1158516,0.071428575,0.5353251,3.2188754,0.3342211
1,71,20,2,16.086716175079346,0.8041543006896973,0,1,0,2.9053853,0.13399999,0.9408458,3.2188754,-0.0
1,72,35,1,29.95824146270752,0.8557882649557931,1,0,0,3.206589,0.04571428,0.07164107,3.2188754,2.7888534
1,73,38,2,31.9153413772583,0.8397696645636308,0,1,0,3.1599863,0.058947362,0.3582064,3.2188754,0.98110217
1,74,46,2,38.52857518196106,0.8374727705250615,0,1,0,3.1898801,0.050434776,0.1945049,3.2188754,1.8851018
1,75,20,2,12.255061864852905,0.6126441359519958,0,1,0,2.9949927,0.112,0.6734981,3.2188754,0.82228994
1,76,37,1,31.85386610031128,0.8607983653609818,1,0,0,3.1668053,0.057297293,0.31241915,3.2188754,1.2922907
1,77,42,2,35.688987016677856,0.8496048280170986,0,1,0,3.2188754,0.039999995,0.0,3.2188754,3.2188754
1,78,30,2,25.51151442527771,0.8502344449361166,0,1,0,3.1442823,0.063999996,0.40169257,3.2188754,0.98110217
1,79,14,2,9.989442586898804,0.713422281401498,0,1,0,3.070228,0.08857143,0.53595674,3.2188754,1.1378081
1,80,44,2,37.53243970870972,0.8528042489832098,0,1,0,3.1644075,0.05727272,0.3571696,3.2188754,0.82228994
1,81,19,1,15.091349601745605,0.7941006861234966,1,0,0,3.0081174,0.115789466,0.48891735,3.2188754,1.7410034
1,82,19,1,15.679267168045044,0.8250217688711066,1,0,0,3.1093457,0.075789474,0.46469584,3.2188754,1.1378081
